-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
167,1.0547,0.90336,0.67194,0.69466,0.90579,0.65112,1.0726,0.89715,0.93714,0.80318,0.84387,1.0332,0,0,0,0
168,0.27261,0.1448,0.12898,0.11667,0.15324,0.16439,0.19419,0.13936,0.18496,0.1108,0.1004,0.20688,0,0,0,0
169,0.091444,0.081386,0.06659,0.069669,0.080536,0.067358,0.061368,0.06029,0.057582,0.058036,0.089109,0.10353,0,0,0,0
170,0.45826,0.34376,0.26689,0.26037,0.31964,0.23292,0.31456,0.28145,0.23257,0.25557,0.23039,0.31744,0,0,0,0
171,3.2364,3.5218,3.3168,3.2052,3.7759,3.6363,3.869,3.4834,3.6244,3.1787,3.1881,3.4408,0,0,0,0
172,3.4282,3.8509,3.6659,3.7221,3.7774,3.874,3.8719,3.5462,3.7743,3.3446,3.5016,3.4613,0,0,0,0
173,2.8892,3.0608,2.421,2.9207,3.1519,2.9161,2.7647,2.4019,3.3315,2.933,3.177,3.0782,0,0,0,0
174,2.2629,2.8126,1.7797,2.481,2.8531,2.2623,2.0153,1.944,3.1312,2.5903,3.2474,3.3261,0,0,0,0
175,1.3974,1.5133,1.3793,1.2722,1.3816,1.4545,1.5093,1.3625,1.3791,1.3409,1.1993,1.3422,0,0,0,0
176,2.9496,3.5988,2.0437,3.3166,3.8258,2.9772,3.4716,2.364,3.7981,3.4967,3.6864,3.9189,0,0,0,0
177,4.1195,4.4494,2.7279,4.0265,4.2301,4.2393,4.4115,3.2282,4.198,3.975,4.0337,4.2843,0,0,0,0
178,2.531,2.4475,2.0724,1.645,2.2229,1.9123,2.3684,2.1699,2.1803,2.0237,2.4128,2.5091,0,0,0,0
179,4.7395,5.1602,3.8525,4.4511,5.0036,5.2344,5.2517,4.8916,5.0073,4.6281,4.8224,4.9847,0,0,0,0
180,2.1034,2.0552,1.3016,2.0864,1.5974,2.0107,1.3122,1.6877,1.6562,1.7707,1.8912,1.8103,0,0,0,0
181,2.0776,1.6627,1.9902,1.7613,1.9284,1.9165,1.786,1.7926,1.5161,1.5709,1.7966,1.8866,0,0,0,0
182,1.052,0.85603,0.47709,0.58803,0.7256,0.48595,0.80572,0.6696,0.63566,0.60577,0.81355,1.0003,0,0,0,0
183,2.6356,2.4817,2.8676,2.5698,2.67,3.1027,2.5532,2.5203,2.6451,2.4745,2.0441,2.3705,0,0,0,0
184,1.3225,1.172,0.98283,1.0313,1.1752,1.0369,1.3411,1.2256,1.1826,1.0642,1.3263,1.2734,0,0,0,0
